0,0,1138,195,249,137
1,1,1969,318,506,274
2,2,1888,312,490,282
3,3,1974,326,537,314
4,4,1994,300,463,266
5,5,2016,297,490,275
6,6,1180,183,259,130
7,0,1101,184,250,151
8,1,1970,287,475,277
9,2,2010,317,454,258
10,3,2017,299,521,289
11,4,2013,324,485,259
12,5,1959,292,508,283
13,6,1073,169,213,119
14,0,1159,171,257,141
15,1,2065,276,467,252
16,2,2014,269,488,276
17,3,1955,305,511,303
18,4,1948,239,471,272
19,5,2081,323,497,274
20,6,1176,176,256,156
21,0,1197,186,209,114
22,1,1991,288,492,264
23,2,2057,298,499,278
24,3,2008,305,483,249
25,4,2091,320,453,257
26,5,2031,314,493,285
27,6,1129,173,230,124
28,0,1118,192,249,151
29,1,1976,284,502,289
30,2,2039,285,490,271
31,3,2066,292,428,236
32,4,2059,299,504,285
33,5,2076,274,483,279
34,6,1183,184,230,137
35,0,1222,200,239,140
36,1,2029,309,518,293
37,2,1958,271,437,244
38,3,2117,349,518,313
39,4,2072,288,465,280
40,5,2074,307,498,278
41,6,1178,185,245,137
42,0,1154,168,264,148
43,1,1992,290,454,242
44,2,2014,330,446,244
45,3,2084,313,499,280
46,4,2083,302,515,288
47,5,1903,297,487,271
48,6,1136,167,224,136
49,0,1143,188,268,154
50,1,2004,307,462,249
51,2,2000,305,469,259
52,3,2015,297,544,301
53,4,2014,306,479,263
54,5,1937,284,485,259
55,6,1237,200,214,122
56,0,1171,195,228,121
57,1,2077,279,460,243
58,2,2040,313,494,292
59,3,1986,281,482,267
60,4,1995,286,491,282
61,5,2195,324,476,241
62,6,1113,186,245,119
63,0,1129,173,220,105
64,1,2023,289,487,272
65,2,1957,279,488,281
66,3,1971,275,479,261
67,4,1998,309,530,299
68,5,2142,319,494,272
69,6,1112,159,270,140
70,0,1092,153,254,138
71,1,2075,324,486,276
72,2,2119,289,464,265
73,3,2027,295,484,268
74,4,2038,334,499,269
75,5,1970,281,490,275
76,6,1159,179,245,123
77,0,1178,199,211,104
78,1,2087,325,489,273
79,2,2163,293,473,276
80,3,2024,288,489,269
81,4,2091,310,493,293
82,5,1965,292,477,269
83,6,1129,193,228,119
84,0,1114,168,213,119
85,1,2012,286,437,251
86,2,2004,327,476,255
87,3,1931,279,472,258
88,4,1908,291,526,292
89,5,1995,285,485,245
90,6,1228,203,243,146
91,0,1176,181,218,130
92,1,1960,264,523,290
93,2,2029,283,524,286
94,3,2030,290,470,263
95,4,2040,303,486,263
96,5,2033,308,518,295
97,6,1110,191,226,126
98,0,1226,199,242,140
99,1,2006,293,495,269
100,2,2079,291,436,248
101,3,1949,289,462,264
102,4,1975,281,480,268
103,5,2019,314,521,289
104,6,1193,170,243,120
105,0,1168,184,229,129
106,1,1955,294,490,266
107,2,2044,265,465,250
108,3,2081,317,480,252
109,4,1962,320,484,291
110,5,1990,302,437,246
111,6,1190,202,214,116
112,0,1097,174,226,119
113,1,1980,291,492,269
114,2,2006,299,477,266
115,3,2076,290,477,266
116,4,2122,314,483,280
117,5,2039,333,534,277
118,6,1134,191,239,146
119,0,1225,203,249,144
120,1,1974,296,465,275
121,2,2065,251,473,259
122,3,1920,280,492,263
123,4,2018,288,515,285
124,5,2028,301,453,257
125,6,1085,191,224,124
126,0,1166,194,248,127
127,1,2121,285,494,294
128,2,1949,274,504,265
129,3,1930,276,493,284
130,4,2010,311,519,283
131,5,2012,319,507,288
132,6,1191,199,252,150
133,0,1217,220,284,153
134,1,2037,317,501,272
135,2,1964,292,468,257
136,3,1943,283,463,254
137,4,2019,309,508,262
138,5,1899,285,503,258
139,6,1250,188,204,104
140,0,1168,180,231,128
141,1,1958,263,508,288
142,2,2006,285,506,292
143,3,2108,296,472,275
144,4,2021,302,508,281
145,5,1954,288,487,273
146,6,1254,203,226,128
147,0,1145,187,280,156
148,1,1932,281,491,266
149,2,1982,279,490,266
